epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.592,1.23172,1.58965,1.22597,0.96262,0.91229,0.95931,0.62222,1.23001,0.73198,1.21741,0.00332956,0.00332956,0.00332956
2,644.398,1.19974,0.81794,1.20112,0.95209,0.91341,0.95305,0.60754,1.29362,0.69478,1.28641,0.00659693,0.00659693,0.00659693
3,964.748,1.26811,0.80094,1.25606,0.95563,0.89728,0.94689,0.59953,1.30689,0.69347,1.2931,0.0097983,0.0097983,0.0097983
4,1279.21,1.26483,0.76513,1.26631,0.9431,0.91886,0.95018,0.60959,1.29107,0.61798,1.27965,0.009703,0.009703,0.009703
5,1579.58,1.22175,0.70918,1.24958,0.9535,0.92402,0.95207,0.57944,1.39144,0.61836,1.32969,0.009604,0.009604,0.009604
6,1890.86,1.19349,0.6704,1.22613,0.96566,0.92327,0.95879,0.6253,1.23725,0.5616,1.23554,0.009505,0.009505,0.009505
7,2198.73,1.18485,0.64795,1.22054,0.95849,0.93135,0.96159,0.63978,1.22592,0.53762,1.23439,0.009406,0.009406,0.009406
8,2497.2,1.17039,0.63612,1.21204,0.96534,0.92167,0.96385,0.60754,1.32075,0.54937,1.28594,0.009307,0.009307,0.009307
9,2798.22,1.14794,0.60711,1.20229,0.97157,0.93386,0.96868,0.6244,1.27489,0.51682,1.24825,0.009208,0.009208,0.009208
10,3105.45,1.14131,0.60184,1.19628,0.97037,0.93688,0.97067,0.6595,1.20383,0.49168,1.21739,0.009109,0.009109,0.009109
11,3413.58,1.13643,0.59033,1.19248,0.96799,0.9362,0.96776,0.66,1.17998,0.48326,1.19238,0.00901,0.00901,0.00901
12,331.472,1.11758,0.57461,1.18139,0.97137,0.93762,0.97527,0.66239,1.17821,0.4779,1.19675,0.008911,0.008911,0.008911
13,670.301,1.11099,0.57042,1.18169,0.96841,0.94898,0.97515,0.672,1.15412,0.47104,1.18601,0.008812,0.008812,0.008812
14,1039.71,1.10828,0.5629,1.1741,0.96797,0.94231,0.97279,0.66188,1.183,0.46765,1.19442,0.008713,0.008713,0.008713
15,1336.66,1.10353,0.55494,1.16766,0.9719,0.94794,0.97744,0.67261,1.16917,0.45334,1.19059,0.008614,0.008614,0.008614
16,1637.21,1.09159,0.54763,1.16585,0.97851,0.93958,0.97806,0.67539,1.15245,0.44683,1.17642,0.008515,0.008515,0.008515
17,1934.88,1.08664,0.53526,1.16065,0.97546,0.95103,0.97729,0.67796,1.15416,0.43667,1.18228,0.008416,0.008416,0.008416
18,2258.57,1.08598,0.53425,1.1605,0.97629,0.94559,0.97687,0.68568,1.12638,0.43084,1.16153,0.008317,0.008317,0.008317
19,2608.04,1.08123,0.53276,1.15696,0.97148,0.95497,0.97896,0.68244,1.13269,0.42669,1.16887,0.008218,0.008218,0.008218
20,2920.14,1.06634,0.52116,1.15103,0.97861,0.95075,0.9785,0.67974,1.14283,0.428,1.1687,0.008119,0.008119,0.008119
21,3227.92,1.06569,0.51644,1.15103,0.97917,0.94806,0.97966,0.69075,1.11526,0.41868,1.15661,0.00802,0.00802,0.00802
22,3567.64,1.06114,0.51403,1.14713,0.97597,0.95268,0.97796,0.68727,1.11898,0.42063,1.15696,0.007921,0.007921,0.007921
23,3904.49,1.06504,0.51236,1.14919,0.97646,0.95403,0.98117,0.69386,1.11378,0.40744,1.15607,0.007822,0.007822,0.007822
24,4222.64,1.05885,0.50795,1.14678,0.97919,0.95216,0.97997,0.6913,1.11515,0.40944,1.1553,0.007723,0.007723,0.007723
25,4543.6,1.05398,0.50607,1.13821,0.97843,0.95726,0.98063,0.69011,1.1146,0.40356,1.15426,0.007624,0.007624,0.007624
26,4850.33,1.05231,0.50375,1.14278,0.9836,0.95623,0.98255,0.69883,1.10809,0.39814,1.14881,0.007525,0.007525,0.007525
27,5163.14,1.04854,0.50156,1.13749,0.98458,0.95865,0.98298,0.69457,1.11085,0.39438,1.14879,0.007426,0.007426,0.007426
28,5493.89,1.04395,0.49513,1.13382,0.97463,0.95497,0.98074,0.69116,1.11109,0.40098,1.15118,0.007327,0.007327,0.007327
29,5792.54,1.04247,0.49473,1.13744,0.98312,0.95603,0.98381,0.69787,1.1046,0.39622,1.14632,0.007228,0.007228,0.007228
30,6092.96,1.03655,0.48846,1.13228,0.97847,0.95544,0.98187,0.69634,1.1009,0.39194,1.14577,0.007129,0.007129,0.007129
31,6402.21,1.03268,0.48407,1.12835,0.98355,0.9545,0.98238,0.70119,1.0979,0.39316,1.14055,0.00703,0.00703,0.00703
32,6835.14,1.03566,0.48663,1.13064,0.97924,0.96248,0.98221,0.69658,1.09592,0.39004,1.14242,0.006931,0.006931,0.006931
33,7153.06,1.02649,0.47964,1.12631,0.97735,0.95919,0.98276,0.70084,1.09251,0.38554,1.14201,0.006832,0.006832,0.006832
34,7449.27,1.02988,0.48261,1.12534,0.97789,0.96154,0.98226,0.69928,1.09567,0.38734,1.14241,0.006733,0.006733,0.006733
35,7774.29,1.02043,0.47413,1.12281,0.98209,0.95779,0.98341,0.70048,1.09844,0.38345,1.14518,0.006634,0.006634,0.006634
36,8106.8,1.01806,0.47468,1.12341,0.97394,0.96396,0.98322,0.70471,1.09098,0.38256,1.14165,0.006535,0.006535,0.006535
37,8417.68,1.01195,0.47023,1.1169,0.98463,0.95919,0.9837,0.70288,1.09143,0.37903,1.14283,0.006436,0.006436,0.006436
38,8744.8,1.01106,0.46997,1.11685,0.98065,0.95872,0.98612,0.70112,1.09229,0.37829,1.14207,0.006337,0.006337,0.006337
39,9061.53,1.01152,0.46725,1.11942,0.97999,0.95966,0.98448,0.70219,1.09582,0.37865,1.14227,0.006238,0.006238,0.006238
40,9400.14,1.00693,0.46541,1.11767,0.98115,0.95732,0.98375,0.70399,1.09426,0.37857,1.14043,0.006139,0.006139,0.006139
41,9743.27,1.00724,0.46499,1.11439,0.9808,0.95857,0.98392,0.7034,1.09091,0.37762,1.1394,0.00604,0.00604,0.00604
42,10073.6,1.00145,0.46302,1.11523,0.98132,0.95919,0.98343,0.70386,1.08704,0.37845,1.13787,0.005941,0.005941,0.005941
